"n","target_cv","actual_cv","maxmin_ratio","p","q","p_value","Lambda","loglik_F","loglik_R","aic_F","aic_R","bic_F","bic_R"
100,0,0,1,0.215,0.825,0.443993816618067,3.72850362277245,-582.507293636108,-584.371545447494,1185.01458727222,1180.74309089499,1211.0662891321,1196.37411201092
100,0,0,1,0.215,0.825,0.515863367371772,3.25644048892718,-620.816657889132,-622.444878133596,1261.63331577826,1256.88975626719,1287.68501763814,1272.52077738312
100,0,0,1,0.215,0.825,0.36240645888876,4.33626114237313,-611.320608560523,-613.48873913171,1242.64121712105,1238.97747826342,1268.69291898093,1254.60849937935
100,0,0,1,0.215,0.825,0.703443900456634,2.1758995104924,-621.212506629037,-622.300456384283,1262.42501325807,1256.60091276857,1288.47671511796,1272.2319338845
100,0,0,1,0.215,0.825,0.111505881864897,7.50461684120228,-616.119454150368,-619.871762570969,1252.23890830074,1251.74352514194,1278.29061016062,1267.37454625787
100,0,0,1,0.215,0.825,0.759158419313937,1.87269817978995,-618.46427705376,-619.400626143655,1256.92855410752,1250.80125228731,1282.9802559674,1266.43227340324
100,0,0,1,0.215,0.825,0.954584201171572,0.673267509268499,-617.273543235918,-617.610176990552,1254.54708647184,1247.2203539811,1280.59878833172,1262.85137509703
100,0,0,1,0.215,0.825,0.636003630048979,2.54832628790314,-632.338095793699,-633.61225893765,1284.6761915874,1279.2245178753,1310.72789344728,1294.85553899123
100,0,0,1,0.215,0.825,0.997273815928558,0.15144317388831,-584.398706588003,-584.474428174947,1188.79741317601,1180.94885634989,1214.84911503589,1196.57987746582
100,0,0,1,0.215,0.825,0.439476936770659,3.75987846774183,-623.888393760625,-625.768332994496,1267.77678752125,1263.53666598899,1293.82848938113,1279.16768710492
100,0,0,1,0.215,0.825,0.960647926345585,0.621472931433573,-631.320109585867,-631.630846051584,1282.64021917173,1275.26169210317,1308.69192103162,1290.8927132191
100,0,0,1,0.215,0.825,0.473292749492974,3.53025627598845,-605.327754376482,-607.092882514476,1230.65550875296,1226.18576502895,1256.70721061284,1241.81678614488
100,0,0,1,0.215,0.825,0.697224677511451,2.20985917404869,-587.076192588822,-588.181122175846,1194.15238517764,1188.36224435169,1220.20408703752,1203.99326546762
100,0,0,1,0.215,0.825,0.246128234518036,5.42803301617437,-606.23273835542,-608.946754863507,1232.46547671084,1229.89350972701,1258.51717857072,1245.52453084294
100,0,0,1,0.215,0.825,0.757797502488543,1.88011164825434,-626.053111942001,-626.993167766128,1272.106223884,1265.98633553226,1298.15792574388,1281.61735664818
100,0,0,1,0.215,0.825,0.674173425559875,2.33627090660229,-632.032448267024,-633.200583720326,1284.06489653405,1278.40116744065,1310.11659839393,1294.03218855658
