"n","target_cv","actual_cv","mttf_true","mttf_full","mttf_reduced","mttf_adaptive_lrt","selected_model_lrt","cv_hat","mttf_adaptive_cv","selected_model_cv","Lambda","p_value","loglik_F","loglik_R","conv_F"
100,0,0,221.829531491824,225.894888078813,229.151822668856,229.151822668856,"reduced",0.242340191932722,225.894888078813,"full",3.31972540138463,0.505813024130396,-615.851016702965,-617.510879403657,0
100,0,0,221.829531491824,225.763704666226,228.777701065812,228.777701065812,"reduced",0.173518968296512,225.763704666226,"full",1.37056702724703,0.849294132687811,-601.006542044025,-601.691825557649,0
100,0,0,221.829531491824,185.959394902086,188.34946042289,188.34946042289,"reduced",0.298799084767889,185.959394902086,"full",3.26601327992739,0.514335122012287,-658.360895595918,-659.993902235882,0
100,0,0,221.829531491824,239.498614025582,249.536233083406,249.536233083406,"reduced",0.446979313452751,239.498614025582,"full",4.08168791272351,0.395063462571636,-595.638536613836,-597.679380570198,0
100,0,0,221.829531491824,200.43753950548,201.762029248307,201.762029248307,"reduced",0.170217126815604,200.43753950548,"full",2.16355138848098,0.705707477219254,-628.361081359881,-629.442857054121,0
100,0,0,221.829531491824,308.209068885006,323.908510713738,323.908510713738,"reduced",0.291470706179525,308.209068885006,"full",3.63208637093589,0.458080470032075,-535.228628803379,-537.044671988847,0
100,0,0,221.829531491824,224.866870473771,226.343768691094,226.343768691094,"reduced",0.207682687239081,224.866870473771,"full",1.81258906461358,0.770178317330871,-625.167331503654,-626.073626035961,0
100,0,0,221.829531491824,207.024633450176,207.748840355662,207.748840355662,"reduced",0.141696446674235,207.024633450176,"full",1.010200738398,0.908245299960668,-627.602023821788,-628.107124190987,0
100,0,0,221.829531491824,253.827731746513,257.745479066468,257.745479066468,"reduced",0.202464965979269,253.827731746513,"full",2.98347808840595,0.560594099198002,-590.730745010404,-592.222484054607,0
100,0,0,221.829531491824,234.254619347453,239.956989760949,239.956989760949,"reduced",0.275934447620519,234.254619347453,"full",3.40615785446607,0.492289923567495,-583.358074458824,-585.061153386057,0
100,0,0,221.829531491824,215.918881096983,221.28632020987,221.28632020987,"reduced",0.342189241090649,215.918881096983,"full",9.2157855830319,0.055926454772317,-618.308460590579,-622.916353382095,0
100,0,0,221.829531491824,201.443805604145,203.604027103985,203.604027103985,"reduced",0.187511169325549,201.443805604145,"full",3.11196907069143,0.539265608563646,-616.808775817755,-618.3647603531,0
100,0,0,221.829531491824,231.490760209082,238.734304641465,231.490760209082,"full",0.488620875659926,231.490760209082,"full",10.5118523710582,0.0326341177426802,-607.797727584406,-613.053653769935,0
100,0,0,221.829531491824,224.732545718919,231.736133076183,231.736133076183,"reduced",0.403878329093805,224.732545718919,"full",6.54429564976317,0.162020708670556,-612.366345000322,-615.638492825204,0
100,0,0,221.829531491824,220.820401652729,221.417037789107,221.417037789107,"reduced",0.105747589333935,220.820401652729,"full",0.598645097286635,0.963214128316575,-615.823427040194,-616.122749588837,0
100,0,0,221.829531491824,235.211510329159,240.843178842837,240.843178842837,"reduced",0.280941840050353,235.211510329159,"full",5.1318936079565,0.27403013354228,-594.731192142759,-597.297138946738,0
100,0,0,221.829531491824,218.442414712747,225.470590929175,225.470590929175,"reduced",0.401512985212807,218.442414712747,"full",2.26388507258275,0.68735183643303,-605.703904308376,-606.835846844667,0
100,0,0,221.829531491824,185.686706456409,187.944828528681,187.944828528681,"reduced",0.319044428596556,185.686706456409,"full",7.99042351356434,0.0919296239405501,-632.812763540255,-636.807975297037,0
100,0,0,221.829531491824,224.421736199862,225.875849358623,225.875849358623,"reduced",0.179824648553753,224.421736199862,"full",2.06821028187233,0.72321469338011,-600.670688594302,-601.704793735238,0
100,0,0,221.829531491824,211.570091777956,211.85116290351,211.85116290351,"reduced",0.0848514006249463,211.85116290351,"reduced",0.531741355544227,0.97033829599729,-611.427679557395,-611.693550235167,0
100,0,0,221.829531491824,226.005581470903,227.538168607584,227.538168607584,"reduced",0.163522821330147,226.005581470903,"full",1.42738132644399,0.839422321802173,-613.285830394639,-613.999521057861,0
100,0,0,221.829531491824,223.441385389011,224.983786702624,224.983786702624,"reduced",0.140485082766775,223.441385389011,"full",1.05160586213128,0.901872476614121,-603.692488246085,-604.218291177151,0
