"n","pmask","q","shape3","p.value","Lambda","loglik.F","loglik.R"
1000,0.215,0.825,2.75,9.1482256645159e-07,33.5655309254998,-6432.23497609243,-6449.01774155518
1000,0.215,0.825,3,0.000150160562998959,22.6291803366403,-6340.74337524473,-6352.05796541305
1000,0.215,0.825,0.25,1.68374950647043e-94,442.65224180563,-4648.13367093052,-4869.45979183334
1000,0.215,0.825,0.5,1.87350237404828e-29,140.831350960387,-5852.23297981212,-5922.64865529231
1000,0.215,0.825,0.75,5.47067369783664e-07,34.6541465189566,-6058.65460215094,-6075.98167541042
1000,0.215,0.825,1,0.00531411383328633,14.7219251420465,-6172.58407751861,-6179.94504008963
1000,0.215,0.825,1.1308,0.154768301865771,6.6636240970729,-6149.74778059344,-6153.07959264198
1000,0.215,0.825,1.25,0.895237507350783,1.09390834362966,-6192.26880735083,-6192.81576152265
1000,0.215,0.825,1.5,0.0175815201975438,11.9692341791761,-6245.53724204702,-6251.52185913661
1000,0.215,0.825,1.75,0.00134911458568633,17.8018721385633,-6329.18889475912,-6338.0898308284
1000,0.215,0.825,2,0.000360231448288807,20.7175048098652,-6411.26271012908,-6421.62146253401
1000,0.215,0.825,2.25,0.00109433780323095,18.2668948461851,-6303.59713255198,-6312.73057997507
1000,0.215,0.825,2.5,1.45255127183547e-05,27.6734167228606,-6226.73038233307,-6240.5670906945
1000,0.215,0.825,2.75,0.000403574345686899,20.4682079712238,-6357.77323507366,-6368.00733905927
1000,0.215,0.825,3,0.00108683317698225,18.2821636721583,-6320.1222985023,-6329.26338033838
1000,0.215,0.825,0.25,1.07245224008294e-97,457.43531431649,-4639.94276954098,-4868.66042669923
1000,0.215,0.825,0.5,1.56533965963536e-27,131.850542637916,-5750.60525248942,-5816.53052380838
1000,0.215,0.825,0.75,3.37268790654437e-09,45.3436841099174,-6013.4355333564,-6036.10737541136
1000,0.215,0.825,1,0.105775871036896,7.6379981962109,-6075.35836087718,-6079.17735997529
1000,0.215,0.825,1.1308,0.128834472664684,7.13677411462049,-6097.09219064595,-6100.66057770326
1000,0.215,0.825,1.25,0.151942849598283,6.71149384657292,-6183.21974856369,-6186.57549548697
1000,0.215,0.825,1.5,0.110900743113814,7.51839815360472,-6272.92082618019,-6276.68002525699
1000,0.215,0.825,1.75,0.0114395316246065,12.9667249049744,-6311.72457582741,-6318.2079382799
1000,0.215,0.825,2,2.61103322535358e-05,26.4138155167384,-6284.02850835782,-6297.23541611619
1000,0.215,0.825,2.25,9.07699172696873e-06,28.6804953379215,-6257.93552506124,-6272.2757727302
1000,0.215,0.825,2.5,0.000188755607356959,22.1307985055428,-6152.08293202677,-6163.14833127954
1000,0.215,0.825,2.75,1.57703725157166e-08,42.1176930789843,-6242.71009285372,-6263.76893939321
1000,0.215,0.825,3,0.00022029848109404,21.7935926966875,-6287.88672694185,-6298.78352329019
1000,0.215,0.825,0.25,8.27557084632471e-97,453.330645570253,-4684.53181766138,-4911.1971404465
1000,0.215,0.825,0.5,1.1873689063168e-35,169.743182912951,-5747.50522596003,-5832.3768174165
1000,0.215,0.825,0.75,3.74840294143765e-07,35.4534340100709,-5919.44072029733,-5937.16743730236
1000,0.215,0.825,1,0.0307808304623755,10.6508865749747,-6059.5446250421,-6064.87006832958
1000,0.215,0.825,1.1308,0.0242230922318611,11.217720116354,-6161.53606512814,-6167.14492518632
1000,0.215,0.825,1.25,0.527549482628795,3.18381240541748,-6082.62467331058,-6084.21657951329
