"n","p","q","p_value","Lambda","loglik_F","loglik_R","cv_shapes","maxmin_ratio","pct_censored","aic_F","aic_R","bic_F","bic_R"
100,0.215,0.5,0.942221554773975,0.771545587613787,-405.919597224037,-406.305370017844,0.0399806559271595,1.11213300318359,0.44,831.839194448074,824.610740035688,857.890896307955,840.241761151617
100,0.215,0.5,0.381127031060284,4.18825796882913,-428.823481590412,-430.917610574827,0.0399806559271595,1.11213300318359,0.41,877.646963180825,873.835221149654,903.698665040706,889.466242265582
100,0.215,0.5,0.340369152463366,4.51841810307667,-341.935718231305,-344.194927282843,0.0399806559271595,1.11213300318359,0.56,703.87143646261,700.389854565686,729.923138322491,716.020875681615
100,0.215,0.5,0.928419597982434,0.872875561827755,-339.890799172484,-340.327236953398,0.0399806559271595,1.11213300318359,0.56,699.781598344969,692.654473906796,725.833300204849,708.285495022725
100,0.215,0.5,0.202147047744111,5.96011140389635,-379.021798312507,-382.001854014455,0.0399806559271595,1.11213300318359,0.49,778.043596625014,776.00370802891,804.095298484895,791.634729144839
100,0.215,0.5,0.934440358550272,0.829570354643579,-389.571395306326,-389.986180483648,0.0399806559271595,1.11213300318359,0.48,799.142790612653,791.972360967296,825.194492472534,807.603382083225
100,0.215,0.5,0.933970837368254,0.832993911609833,-378.213877389074,-378.630374344879,0.0399806559271595,1.11213300318359,0.5,776.427754778149,769.260748689759,802.47945663803,784.891769805687
100,0.215,0.5,0.630293857185692,2.5804293893442,-368.783856168724,-370.074070863396,0.0399806559271595,1.11213300318359,0.51,757.567712337448,752.148141726792,783.619414197329,767.779162842721
100,0.215,0.5,0.415712161961076,3.92891114987617,-318.515730065855,-320.480185640793,0.0399806559271595,1.11213300318359,0.59,657.03146013171,652.960371281586,683.08316199159,668.591392397514
100,0.215,0.5,0.874107217477748,1.22414686814886,-368.683558412247,-369.295631846322,0.0399806559271595,1.11213300318359,0.51,757.367116824494,750.591263692643,783.418818684375,766.222284808572
100,0.215,0.5,0.122778896016524,7.25981378593315,-362.893026688421,-366.522933581388,0.0399806559271595,1.11213300318359,0.51,745.786053376842,745.045867162775,771.837755236723,760.676888278704
100,0.215,0.5,0.0714452266956352,8.61609684385746,-353.596020156055,-357.904068577984,0.0399806559271595,1.11213300318359,0.53,727.192040312111,727.808137155968,753.243742171992,743.439158271897
